Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division,Round,Team_Winner,Score_Winner,Team_Loser,Score_Loser,Score_Difference_Real
Windmill,2023-06-18,Too many cooks,Rainbow Brigade,14,9,Mixed,8,Too many cooks,14,Rainbow Brigade,9,5
Windmill,2023-06-18,Force Elektro MXD,LoL Mixed Ultimate Team,14,6,Mixed,8,Force Elektro MXD,14,LoL Mixed Ultimate Team,6,8
Windmill,2023-06-18,Steamhuck,Norway Mixed,11,8,Mixed,8,Steamhuck,11,Norway Mixed,8,3
Windmill,2023-06-18,Fusion Falcons Ultimate Club,DTU,13,8,Mixed,8,Fusion Falcons Ultimate Club,13,DTU,8,5
Windmill,2023-06-18,FRuBB (formerly Frau Rauscher & the Bembelboys),Kingdom of Raptors,15,13,Mixed,8,FRuBB (formerly Frau Rauscher & the Bembelboys),15,Kingdom of Raptors,13,2
Windmill,2023-06-18,Clapham Ultimate,Czech Republic Open,12,13,Open,8,Czech Republic Open,13,Clapham Ultimate,12,1
Windmill,2023-06-18,Austria Open,Condors,15,13,Open,8,Austria Open,15,Condors,13,2
Windmill,2023-06-18,Gentle Open,Switzerland Open,15,14,Open,8,Gentle Open,15,Switzerland Open,14,1
Windmill,2023-06-18,Panthers Wroclaw,bHOENIX,15,13,Open,8,Panthers Wroclaw,15,bHOENIX,13,2
Windmill,2023-06-18,Ireland Open,Smash'D,13,12,Open,8,Ireland Open,13,Smash'D,12,1
Windmill,2023-06-18,Alba,Chilly Ultimate,13,10,Open,8,Alba,13,Chilly Ultimate,10,3
Windmill,2023-06-18,Hardfisch,Devon Ultimate,15,6,Open,8,Hardfisch,15,Devon Ultimate,6,9
Windmill,2023-06-18,Heidees Open,Top of Nord Italy,13,12,Open,8,Heidees Open,13,Top of Nord Italy,12,1
Windmill,2023-06-18,Amsterdam Ultimate Club Open,TUGA (Portugal Open),15,8,Open,8,Amsterdam Ultimate Club Open,15,TUGA (Portugal Open),8,7
Windmill,2023-06-18,Czech Republic Women ,Mermaid lumberjacks,10,15,Women,8,Mermaid lumberjacks,15,Czech Republic Women ,10,5
Windmill,2023-06-18,Belgium Women,Switzerland Women,11,13,Women,8,Switzerland Women,13,Belgium Women,11,2
Windmill,2023-06-18,Spice Ultimate,Austria Women,5,15,Women,8,Austria Women,15,Spice Ultimate,5,10
Windmill,2023-06-18,Seagulls Hamburg,La Séptima,10,6,Women,8,Seagulls Hamburg,10,La Séptima,6,4
Windmill,2023-06-18,Iceni,Spain Women,11,13,Women,8,Spain Women,13,Iceni,11,2
Windmill,2023-06-18,Ireland Women,3sb,15,9,Women,8,Ireland Women,15,3sb,9,6
Windmill,2023-06-18,Bristol Women,JinX,15,7,Women,8,Bristol Women,15,JinX,7,8
Windmill,2023-06-18,SYC,Frizzly Bears Women,15,5,Women,8,SYC,15,Frizzly Bears Women,5,10
Windmill,2023-06-18,Poland Women,Electroclit,15,9,Women,8,Poland Women,15,Electroclit,9,6
Windmill,2023-06-18,Grut,Germany Mixed,12,11,Mixed,9,Grut,12,Germany Mixed,11,1
Windmill,2023-06-18,Mooncatchers,France Open,15,13,Open,9,Mooncatchers,15,France Open,13,2
Windmill,2023-06-18,Germany Women,France Women,13,11,Women,9,Germany Women,13,France Women,11,2
